Datetime,Water Level (m)
2023-05-28 12:00:00,0.030855723
2023-05-28 13:00:00,0.06423801
2023-05-28 14:00:00,0.09772964
2023-05-28 15:00:00,0.12858364
2023-05-28 16:00:00,0.15102078
2023-05-28 17:00:00,0.15924205
2023-05-28 18:00:00,0.15432803
2023-05-28 19:00:00,0.14260037
2023-05-28 20:00:00,0.12636894
2023-05-28 21:00:00,0.10801143
2023-05-28 22:00:00,0.08755629
2023-05-28 23:00:00,0.06756518
2023-05-29 00:00:00,0.055296015
2023-05-29 01:00:00,0.07076859
2023-05-29 02:00:00,0.09948806
2023-05-29 03:00:00,0.1274671
2023-05-29 04:00:00,0.15083925
2023-05-29 05:00:00,0.16402557
2023-05-29 06:00:00,0.16133203
2023-05-29 07:00:00,0.14973895
2023-05-29 08:00:00,0.133704
2023-05-29 09:00:00,0.11590648
2023-05-29 10:00:00,0.09808377
2023-05-29 11:00:00,0.082767844
2023-05-29 12:00:00,0.07998733
2023-05-29 13:00:00,0.10171381
2023-05-29 14:00:00,0.13573448
2023-05-29 15:00:00,0.17161709
2023-05-29 16:00:00,0.20335272
2023-05-29 17:00:00,0.22596553
2023-05-29 18:00:00,0.23277195
2023-05-29 19:00:00,0.22518703
2023-05-29 20:00:00,0.20966014
2023-05-29 21:00:00,0.18963228
2023-05-29 22:00:00,0.167402
2023-05-29 23:00:00,0.1442466
2023-05-30 00:00:00,0.12057726
2023-05-30 01:00:00,0.10480578
2023-05-30 02:00:00,0.11973006
2023-05-30 03:00:00,0.15069869
2023-05-30 04:00:00,0.18242614
2023-05-30 05:00:00,0.21040253
2023-05-30 06:00:00,0.22931485
2023-05-30 07:00:00,0.23153442
2023-05-30 08:00:00,0.22137934
2023-05-30 09:00:00,0.20460738
2023-05-30 10:00:00,0.18504271
2023-05-30 11:00:00,0.16484529
2023-05-30 12:00:00,0.14588612
2023-05-30 13:00:00,0.13525735
2023-05-30 14:00:00,0.15355018
2023-05-30 15:00:00,0.18956876
2023-05-30 16:00:00,0.22783366
2023-05-30 17:00:00,0.26262832
2023-05-30 18:00:00,0.2877288
2023-05-30 19:00:00,0.29461524
2023-05-30 20:00:00,0.2848386
2023-05-30 21:00:00,0.26719588
2023-05-30 22:00:00,0.24531241
2023-05-30 23:00:00,0.22113644
2023-05-31 00:00:00,0.19539306
2023-05-31 01:00:00,0.17075287
2023-05-31 02:00:00,0.16025823
2023-05-31 03:00:00,0.18558604
2023-05-31 04:00:00,0.2221218
2023-05-31 05:00:00,0.25833204
2023-05-31 06:00:00,0.29077932
2023-05-31 07:00:00,0.31351852
2023-05-31 08:00:00,0.31745097
2023-05-31 09:00:00,0.30741584
2023-05-31 10:00:00,0.290597
2023-05-31 11:00:00,0.2718752
2023-05-31 12:00:00,0.25093862
2023-05-31 13:00:00,0.22994156
2023-05-31 14:00:00,0.21586576
2023-05-31 15:00:00,0.2346695
2023-05-31 16:00:00,0.27404872
2023-05-31 17:00:00,0.31546053
2023-05-31 18:00:00,0.35206342
2023-05-31 19:00:00,0.37851983
2023-05-31 20:00:00,0.38251632
2023-05-31 21:00:00,0.36925098
2023-05-31 22:00:00,0.34934038
2023-05-31 23:00:00,0.3264092
2023-06-01 00:00:00,0.30039018
2023-06-01 01:00:00,0.27263635
2023-06-01 02:00:00,0.24598525
2023-06-01 03:00:00,0.23906784
2023-06-01 04:00:00,0.2737621
2023-06-01 05:00:00,0.31775686
2023-06-01 06:00:00,0.36194235
2023-06-01 07:00:00,0.4007437
2023-06-01 08:00:00,0.42526183
2023-06-01 09:00:00,0.42714176
2023-06-01 10:00:00,0.41396722
2023-06-01 11:00:00,0.39446756
2023-06-01 12:00:00,0.37388963
2023-06-01 13:00:00,0.35213605
2023-06-01 14:00:00,0.32948345
2023-06-01 15:00:00,0.3160233
2023-06-01 16:00:00,0.3438779
2023-06-01 17:00:00,0.3875473
2023-06-01 18:00:00,0.43165696
2023-06-01 19:00:00,0.46881634
2023-06-01 20:00:00,0.4890371
2023-06-01 21:00:00,0.4839934
2023-06-01 22:00:00,0.46683526
2023-06-01 23:00:00,0.44548258
2023-06-02 00:00:00,0.42140993
2023-06-02 01:00:00,0.39465582
2023-06-02 02:00:00,0.36648658
2023-06-02 03:00:00,0.34078133
2023-06-02 04:00:00,0.34959808
2023-06-02 05:00:00,0.39215392
2023-06-02 06:00:00,0.44254518
2023-06-02 07:00:00,0.49220172
2023-06-02 08:00:00,0.53281283
2023-06-02 09:00:00,0.55275506
2023-06-02 10:00:00,0.54579914
2023-06-02 11:00:00,0.5299835
2023-06-02 12:00:00,0.50983244
2023-06-02 13:00:00,0.48754176
2023-06-02 14:00:00,0.4647324
2023-06-02 15:00:00,0.4398278
2023-06-02 16:00:00,0.42539823
2023-06-02 17:00:00,0.4557929
2023-06-02 18:00:00,0.50158596
2023-06-02 19:00:00,0.5471081
2023-06-02 20:00:00,0.58396137
2023-06-02 21:00:00,0.59797657
2023-06-02 22:00:00,0.5856589
2023-06-02 23:00:00,0.5639731
2023-06-03 00:00:00,0.5398217
2023-06-03 01:00:00,0.5122496
2023-06-03 02:00:00,0.4820047
2023-06-03 03:00:00,0.45048037
2023-06-03 04:00:00,0.42577365
2023-06-03 05:00:00,0.44431823
2023-06-03 06:00:00,0.49136516
2023-06-03 07:00:00,0.54604477
2023-06-03 08:00:00,0.597002
2023-06-03 09:00:00,0.63281554
2023-06-03 10:00:00,0.6404334
2023-06-03 11:00:00,0.6288779
2023-06-03 12:00:00,0.6109798
